Sample ID	Temp	Date	Absorbance
ID 2qnyqnph	23.508401099001567	2023-01-06	0.15
ID 4vav20ai	23.790970546715297	2023-01-22	0.6484319998265872
ID epmstsni	23.7991539558068	2023-01-10	0.92
ID mrevgqn4	21.86204866643702	2023-01-28	0.15
ID kbe62r0s	22.475023998502714	2023-01-17	0.15
ID vysfonqa	22.153997779305627	2023-01-20	0.15
ID g1zwwx4p	22.455220670269732	2023-01-31	0.8670206508470321
ID v8n3fnhh	21.572960800090616	2023-01-14	0.92
ID rajir1xh	23.139745916016672	2023-01-13	0.4638298380119096
ID te2d8rza	22.596544110197883	2023-01-14	0.5328037927270738
ID 22wdy8w4	21.606953640159926	2023-01-21	0.15
ID 9dd7dknr	23.8698097419761	2023-01-16	0.15
ID 6yt9zodm	22.792223079804078	2023-01-27	0.7804880765737118
ID wx5mxq7e	22.102375599199146	2023-01-13	0.15
ID o40tlgx3	23.139854651801773	2023-01-09	0.15
ID z4n7v68s	22.941371074008	2023-01-13	0.20144854181372723
ID ix1q741v	23.58250450874296	2023-01-30	0.6071401205012914
ID vpmah6eb	23.178749475093152	2023-01-12	0.15
ID gsar08wn	22.960235666033515	2023-01-30	0.15
ID p7unaylh	23.13403913717132	2023-01-29	0.92
ID 5dymcn4p	21.09001265233441	2023-01-25	0.15
ID cxo50umx	22.012708262465456	2023-01-19	0.92
ID 47p8souu	22.696116874811473	2023-01-22	0.92
ID rk5vvs02	22.82617156897587	2023-01-06	0.92
ID erujwltl	23.773874174002383	2023-01-24	0.686136398117909
ID 4nck9vj6	23.696068883627547	2023-01-21	0.34315356946258097
ID qkl1lppq	21.837941558923383	2023-01-24	0.15
ID d10q60n5	22.477372137417298	2023-01-21	0.3059117087769013
ID w94upbqe	23.450346760875263	2023-01-11	0.15
ID tnd9uvba	22.863706453527726	2023-01-09	0.15
ID ppx3vwtv	21.609502328992406	2023-01-05	0.17114442887475095
ID 5uqo3nat	21.83829902857637	2023-01-20	0.3679586900768348
ID yd0969r7	21.708094869376303	2023-01-30	0.15
ID ujhnr4g7	22.53911061786506	2023-01-11	0.15
ID cqwd603t	23.66391609781098	2023-01-25	0.15
ID qsn1udpd	21.608046181047424	2023-01-18	0.34155115318465
ID n7epyv3r	23.702751479886537	2023-01-12	0.75386046569909
ID 7kso4pvu	21.410075763795316	2023-01-17	0.9156301988569806
ID 4lgzcr5e	21.417788587701857	2023-01-27	0.15
ID 0ybtzmnd	23.49604452232144	2023-01-24	0.5331830033489574
ID a3q7b5kk	22.031558009223744	2023-01-14	0.7049175472822088
ID kj77lo9j	23.772250592576263	2023-01-17	0.15
ID ojzcrq7c	23.476178023552997	2023-01-07	0.5329708861530984
ID mmbmwyxu	21.493353627092095	2023-01-07	0.16172343070858125
ID vmoid1xd	21.051044372701636	2023-01-13	0.15
ID t91cdwvx	22.541619565284364	2023-01-30	0.15
ID hcf8o2qu	23.886057885573724	2023-01-11	0.15
ID upbs49yw	22.403858457520286	2023-01-17	0.54020389662574
ID pm6snrkx	21.564167490018598	2023-01-26	0.6528350833387199
ID g818sqro	23.98480133431755	2023-01-13	0.15
ID lbgz153e	23.307918402787454	2023-01-30	0.1767416049860387
ID 5ll1dvys	22.00137095673724	2023-01-22	0.15
ID yosc4xaj	21.639079513073078	2023-01-12	0.15
ID nf62bpfj	23.311270727759364	2023-01-23	0.15
ID serprmnd	23.79452626656572	2023-01-08	0.22148072309843914
ID nzggs59g	23.986928619378894	2023-01-15	0.15
ID lw2ax0mk	22.957752754420216	2023-01-25	0.6109341575408219
ID paw2q2e2	22.650858284569853	2023-01-21	0.15
ID 8bn91154	23.49591287096047	2023-01-30	0.15
ID iduglru4	21.22229380218108	2023-01-24	0.15
ID 2lb08yql	21.418035733469083	2023-01-30	0.397356408837654
ID o14ipmon	23.448833267218003	2023-01-15	0.15
ID cevbjzvw	21.323832594766653	2023-01-09	0.15
ID li3fex6q	21.278054132612148	2023-01-18	0.15
ID v2pyrazx	23.68182242089481	2023-01-26	0.15
ID 1gflmpqp	23.61858728305545	2023-01-11	0.15
ID ft07j482	21.834046569880915	2023-01-17	0.6375436211550155
ID shvox1ed	21.79135625082277	2023-01-19	0.45421457136312315
ID mjplz50h	21.136554779477898	2023-01-24	0.15
ID k5i5tlc6	21.162382318989764	2023-01-16	0.15
ID ykuqbj9d	23.908493411872673	2023-01-10	0.15
ID fqnvoznx	21.56789708239311	2023-01-26	0.92
ID vk5dhvsc	23.671429598709306	2023-01-06	0.15
ID 915yrz5e	22.48320475626826	2023-01-24	0.15
ID ajz2kwja	21.843538123397312	2023-01-06	0.15
ID vfzxlnjy	21.055490222807094	2023-01-21	0.2162442683595619
ID 5y3ttxer	22.1367224579851	2023-01-06	0.15
ID sna1qchm	22.3225021780826	2023-01-27	0.8207920748416501
ID bfu7w4bb	22.999544150728045	2023-01-14	0.7913479126501486
ID hprf2buh	21.956899948469065	2023-01-19	0.15
ID 0envk8kn	22.763184310732964	2023-01-29	0.15
ID tqfiupcq	23.644957609394005	2023-01-16	0.92
ID ds4t44ja	22.323187421163354	2023-01-23	0.92
ID yxmp0073	22.576878046511478	2023-01-18	0.15
ID e0sko0cy	22.954168383681314	2023-01-27	0.497647663411696
ID 6d9k8jb9	22.13126833495967	2023-01-20	0.92
ID 9rut7yxw	21.47822665808908	2023-01-07	0.15
ID 93fms0hq	21.165851905813224	2023-01-04	0.15
ID ey2gr0zg	22.05465446852921	2023-01-16	0.15
ID ol134awn	21.407584200820434	2023-01-19	0.92
ID sk11xdwi	21.270959491527446	2023-01-28	0.92
ID uvonzpb3	21.201657146683583	2023-01-06	0.15
ID g5rq91mh	23.591632403608482	2023-01-29	0.15
ID idruf5w8	21.39107496993272	2023-01-20	0.15
ID uomcqp0l	21.79712321665827	2023-01-24	0.15
ID fqycz5vd	22.51946330121274	2023-01-06	0.5743384407105041
ID bivsnsyc	21.654204574530937	2023-01-22	0.34908687008059036
ID 9u55mz4o	23.18510008303785	2023-01-17	0.92
ID kt2hgx9j	22.631152136037315	2023-01-21	0.8817018266249864
ID gi65hl2k	21.196037506861618	2023-01-14	0.15
ID zd5z901u	21.399198294938532	2023-01-16	0.15
ID 1eliyn1f	21.693729821377243	2023-01-10	0.15
ID 3spndx99	22.44062042296371	2023-01-03	0.15
ID hr1wtooc	21.151083063855786	2023-01-16	0.15
ID l3sjkoi9	23.800410254383294	2023-01-10	0.92
ID e92apl79	23.597679660446254	2023-01-08	0.92
ID zij4pydh	22.671711781974714	2023-01-17	0.92
ID 4ujwkw2x	22.809146463337843	2023-01-09	0.15
ID hwhqcies	23.38825834594627	2023-01-25	0.15
ID vz4jg3aa	22.48936054604056	2023-01-09	0.15
ID bwarsy0c	22.982535171704598	2023-01-18	0.15
ID t1xdzsgf	23.61995991565918	2023-01-22	0.15
ID 02zow95n	21.599607006545043	2023-01-23	0.15
ID ad5ubv8g	21.29287908876437	2023-01-09	0.92
ID soyi7i8m	21.326333324935728	2023-01-24	0.49480287274547474
ID nnply67j	22.698522348174578	2023-01-24	0.48641531489985457
ID 758ug24h	23.12494132522752	2023-01-03	0.15
ID 85cowx11	21.230149998713614	2023-01-14	0.8103692726883628
ID 34wesvsx	21.34223291094744	2023-01-25	0.3096065306370739
ID oh2mtn65	23.861522499461273	2023-01-29	0.92
ID kopcmeax	23.02220576861928	2023-01-30	0.15
ID i6um6kjt	23.240255259999895	2023-01-03	0.92
ID 4wo5at13	22.08616435402944	2023-01-18	0.15
ID xwfsvnxh	22.839139150839536	2023-01-20	0.92
ID 8ocwo9xg	23.268540684678356	2023-01-20	0.92
ID rzyd88sl	21.95172154939245	2023-01-18	0.15
ID arfb7ov2	21.18667598167189	2023-01-07	0.92
ID j2pa75qp	23.61917925963899	2023-01-31	0.92
ID 7jlb0qhf	22.881719056472896	2023-01-19	0.92
ID y2pox0lr	21.7921852304155	2023-01-25	0.15
ID opuvr6yp	22.97789546144434	2023-01-19	0.15
ID 0lgseg0e	22.53866278661163	2023-01-13	0.2656788931015428
ID czwjgf36	21.850415808843895	2023-01-23	0.15
ID 6k51tk2o	23.854686417614197	2023-01-22	0.15
ID 0didcfmb	22.30384271376034	2023-01-03	0.15
ID pl9eb068	21.630444790344836	2023-01-27	0.15
ID jawoai8j	21.67809368899019	2023-01-11	0.662573524083013
ID xe0yel7w	23.60879762632153	2023-01-04	0.15
ID zqarlbjb	23.969808520143857	2023-01-20	0.42190220400978584
